loan_amnt,term,int_rate,installment,annual_inc,delinq_2yrs,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,open_acc,loan_status
5375.0,36,15.31,187.15,22880.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.0,0
18000.0,36,5.32,542.07,96000.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.0,0
10800.0,36,14.42,371.34,34000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,0
10000.0,36,7.89,312.86,80000.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.0,0
6000.0,36,15.61,209.79,23030.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.0,0
2500.0,36,13.11,84.37,75000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,12.0,0
16000.0,36,19.72,592.34,92000.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,12.0,0
6000.0,36,12.99,202.14,70000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.0,0
16000.0,60,8.67,329.58,250000.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,22.0,0
26425.0,60,14.65,623.81,82500.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,21.0,0
15350.0,60,9.99,326.07,85000.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.0,0
35000.0,36,21.98,1336.31,150000.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.0,0
12000.0,36,10.99,392.81,31000.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,14.0,0
11200.0,36,12.29,373.56,65000.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.0,0
22850.0,36,15.61,798.95,55000.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,8.0,0
16000.0,60,12.49,359.89,74000.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,14.0,0
35000.0,36,10.99,1145.69,75000.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,0
30000.0,36,12.59,1004.91,103000.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.0,0
15000.0,36,10.49,487.47,65000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.0,0
4000.0,36,9.17,127.52,82500.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.0,0
12050.0,36,19.52,444.88,45000.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,11.0,0
3000.0,36,18.75,109.59,55000.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,17.0,0
4200.0,36,7.12,129.92,90000.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0
6000.0,36,10.15,194.03,50000.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,0
6000.0,36,17.57,215.63,33000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,27.0,0
9000.0,36,6.03,273.92,80000.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.0,0
28650.0,60,18.25,731.43,100000.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.0,0
35000.0,60,14.49,823.31,120000.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,15.0,0
20000.0,36,12.39,668.02,70000.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.0,0
4250.0,36,14.33,145.94,67000.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,16.0,0
6000.0,36,9.76,192.93,24500.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,16.0,0
24000.0,60,14.98,570.71,80246.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,11.0,0
20000.0,36,10.99,654.68,69000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0,0
7200.0,36,11.53,237.53,65000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,27.0,0
30625.0,60,25.83,913.85,102000.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,17.0,0
4200.0,36,11.53,138.56,23200.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.0,0
2000.0,36,9.99,64.53,40000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0,0
10000.0,36,8.9,317.54,57600.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,18.0,0
20000.0,36,13.53,679.0,110000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,13.0,0
10775.0,60,18.55,276.85,37000.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,14.0,0
14000.0,60,14.99,332.99,79000.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,7.0,0
33700.0,60,23.43,958.37,99349.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,14.0,0
12000.0,36,10.99,392.81,75000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,0
6600.0,36,14.33,226.64,26000.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.0,0
